stat1,stat2,stat3,stat4,stat5,stat6,prob
9,6,4,4,4,3,100.00%
9,5,5,4,4,3,100.00%
7,7,6,5,4,3,100.00%
9,6,5,4,4,3,100.00%
8,7,6,5,4,3,100.00%
9,7,4,4,4,3,100.00%
9,7,5,4,4,3,100.00%
9,6,6,4,4,3,100.00%
9,7,6,4,4,3,100.00%
9,7,7,5,3,3,100.00%
9,5,5,5,4,3,100.00%
9,6,5,5,4,3,100.00%
9,7,5,5,4,3,100.00%
8,8,7,3,3,3,100.00%
8,8,7,4,3,3,100.00%
9,6,6,5,4,3,100.00%
9,7,6,5,4,3,100.00%
8,8,4,4,4,3,100.00%
8,8,5,4,4,3,100.00%
8,8,7,5,3,3,100.00%
9,8,7,3,3,3,100.00%
9,8,7,4,3,3,100.00%
8,8,6,4,4,3,100.00%
8,8,5,5,4,3,100.00%
9,8,4,4,4,3,100.00%
9,8,5,4,4,3,100.00%
9,8,7,5,3,3,100.00%
8,8,6,5,4,3,100.00%
9,8,6,4,4,3,100.00%
9,8,5,5,4,3,100.00%
9,8,6,5,4,3,100.00%
7,7,7,4,4,3,100.00%
8,7,7,4,4,3,100.00%
7,7,7,5,4,3,100.00%
8,7,7,5,4,3,100.00%
9,7,7,4,4,3,100.00%
9,7,7,5,4,3,100.00%
8,8,7,4,4,3,100.00%
8,8,7,5,4,3,100.00%
9,8,7,4,4,3,100.00%
9,8,7,5,4,3,100.00%
10,3,3,3,3,3,100.00%
10,4,3,3,3,3,100.00%
10,5,3,3,3,3,100.00%
10,4,4,3,3,3,100.00%
10,5,4,3,3,3,100.00%
10,6,3,3,3,3,100.00%
10,6,4,3,3,3,100.00%
10,5,5,3,3,3,100.00%
10,6,5,3,3,3,100.00%
10,4,4,4,3,3,100.00%
10,5,4,4,3,3,100.00%
10,6,4,4,3,3,100.00%
10,5,5,4,3,3,100.00%
10,6,5,4,3,3,100.00%
10,7,3,3,3,3,100.00%
10,7,4,3,3,3,100.00%
10,7,5,3,3,3,100.00%
10,7,4,4,3,3,100.00%
10,7,5,4,3,3,100.00%
10,6,6,3,3,3,100.00%
10,6,6,4,3,3,100.00%
10,7,6,3,3,3,100.00%
10,7,6,4,3,3,100.00%
10,5,5,5,3,3,100.00%
10,6,5,5,3,3,100.00%
10,7,5,5,3,3,100.00%
6,6,6,6,3,3,100.00%
7,6,6,6,3,3,100.00%
10,6,6,5,3,3,100.00%
8,6,6,6,3,3,100.00%
7,7,6,6,3,3,100.00%
8,7,6,6,3,3,100.00%
10,7,6,5,3,3,100.00%
9,6,6,6,3,3,100.00%
9,7,6,6,3,3,100.00%
10,8,3,3,3,3,100.00%
10,8,4,3,3,3,100.00%
10,8,5,3,3,3,100.00%
10,8,4,4,3,3,100.00%
10,8,5,4,3,3,100.00%
10,8,6,3,3,3,100.00%
10,8,6,4,3,3,100.00%
10,8,5,5,3,3,100.00%
10,8,6,5,3,3,100.00%
8,8,6,6,3,3,100.00%
9,8,6,6,3,3,100.00%
7,7,7,6,3,3,100.00%
8,7,7,6,3,3,100.00%
10,7,7,3,3,3,100.00%
10,7,7,4,3,3,100.00%
10,4,4,4,4,3,100.00%
10,5,4,4,4,3,100.00%
10,6,4,4,4,3,100.00%
10,5,5,4,4,3,100.00%
10,6,5,4,4,3,100.00%
10,7,4,4,4,3,100.00%
10,7,5,4,4,3,100.00%
10,6,6,4,4,3,100.00%
10,7,6,4,4,3,100.00%
10,7,7,5,3,3,100.00%
9,7,7,6,3,3,100.00%
6,6,6,6,4,3,100.00%
7,6,6,6,4,3,100.00%
8,6,6,6,4,3,100.00%
10,5,5,5,4,3,100.00%
10,6,5,5,4,3,100.00%
7,7,6,6,4,3,100.00%
8,7,6,6,4,3,100.00%
10,7,5,5,4,3,100.00%
10,6,6,5,4,3,100.00%
10,7,6,5,4,3,100.00%
10,8,7,3,3,3,100.00%
10,8,7,4,3,3,100.00%
8,8,7,6,3,3,100.00%
9,6,6,6,4,3,100.00%
9,7,6,6,4,3,100.00%
10,8,7,5,3,3,100.00%
10,8,4,4,4,3,100.00%
10,8,5,4,4,3,100.00%
9,8,7,6,3,3,100.00%
10,8,6,4,4,3,100.00%
10,8,5,5,4,3,100.00%
8,8,6,6,4,3,100.00%
10,8,6,5,4,3,100.00%
9,8,6,6,4,3,100.00%
7,7,7,6,4,3,100.00%
8,7,7,6,4,3,100.00%
10,7,7,4,4,3,100.00%
9,7,7,6,4,3,100.00%
10,7,7,5,4,3,100.00%
8,8,7,6,4,3,100.00%
10,8,7,4,4,3,100.00%
9,8,7,6,4,3,100.00%
10,8,7,5,4,3,100.00%
10,6,6,6,3,3,99.99%
10,7,6,6,3,3,99.99%
10,8,6,6,3,3,99.99%
10,7,7,6,3,3,99.99%
10,6,6,6,4,3,99.99%
10,7,6,6,4,3,99.99%
10,8,7,6,3,3,99.99%
9,9,3,3,3,3,99.99%
9,9,4,3,3,3,99.99%
9,9,5,3,3,3,99.99%
9,9,4,4,3,3,99.99%
9,9,5,4,3,3,99.99%
9,9,6,3,3,3,99.99%
9,9,6,4,3,3,99.99%
10,8,6,6,4,3,99.99%
9,9,5,5,3,3,99.99%
9,9,6,5,3,3,99.99%
10,7,7,6,4,3,99.99%
10,8,7,6,4,3,99.99%
9,9,7,3,3,3,99.99%
9,9,7,4,3,3,99.99%
9,9,7,5,3,3,99.99%
9,9,4,4,4,3,99.99%
9,9,5,4,4,3,99.99%
9,9,6,4,4,3,99.99%
9,9,5,5,4,3,99.99%
9,9,6,5,4,3,99.99%
9,9,7,4,4,3,99.99%
9,9,7,5,4,3,99.99%
10,9,3,3,3,3,99.99%
10,9,4,3,3,3,99.99%
10,9,5,3,3,3,99.99%
10,9,4,4,3,3,99.99%
10,9,5,4,3,3,99.99%
10,9,6,3,3,3,99.99%
10,9,6,4,3,3,99.99%
10,9,5,5,3,3,99.99%
10,9,6,5,3,3,99.99%
10,9,7,3,3,3,99.99%
10,9,7,4,3,3,99.99%
9,9,6,6,3,3,99.99%
10,9,7,5,3,3,99.99%
10,9,4,4,4,3,99.99%
10,9,5,4,4,3,99.99%
10,9,6,4,4,3,99.99%
10,9,5,5,4,3,99.99%
10,9,6,5,4,3,99.99%
9,9,7,6,3,3,99.99%
9,9,6,6,4,3,99.99%
10,9,7,4,4,3,99.99%
10,9,7,5,4,3,99.99%
9,9,7,6,4,3,99.99%
10,9,6,6,3,3,99.99%
