stat1,stat2,stat3,stat4,stat5,stat6,prob
10,9,7,6,3,3,99.99%
10,9,6,6,4,3,99.99%
10,9,7,6,4,3,99.99%
8,8,8,3,3,3,99.99%
8,8,8,4,3,3,99.99%
9,8,8,3,3,3,99.99%
9,8,8,4,3,3,99.99%
8,8,8,5,3,3,99.99%
9,8,8,5,3,3,99.99%
8,8,8,4,4,3,99.98%
9,8,8,4,4,3,99.98%
8,8,8,5,4,3,99.98%
9,8,8,5,4,3,99.98%
8,8,8,6,3,3,99.98%
10,8,8,3,3,3,99.98%
10,8,8,4,3,3,99.98%
9,8,8,6,3,3,99.98%
10,8,8,5,3,3,99.98%
8,8,8,6,4,3,99.98%
10,8,8,4,4,3,99.98%
9,8,8,6,4,3,99.98%
10,8,8,5,4,3,99.98%
10,8,8,6,3,3,99.98%
9,9,8,3,3,3,99.98%
9,9,8,4,3,3,99.98%
9,9,8,5,3,3,99.98%
10,8,8,6,4,3,99.98%
9,9,8,4,4,3,99.98%
9,9,8,5,4,3,99.98%
10,9,8,3,3,3,99.98%
10,9,8,4,3,3,99.98%
10,9,8,5,3,3,99.98%
5,5,5,5,5,3,99.98%
6,5,5,5,5,3,99.98%
7,5,5,5,5,3,99.98%
6,6,5,5,5,3,99.98%
7,6,5,5,5,3,99.98%
8,5,5,5,5,3,99.98%
8,6,5,5,5,3,99.98%
7,7,5,5,5,3,99.98%
8,7,5,5,5,3,99.98%
6,6,6,5,5,3,99.98%
7,6,6,5,5,3,99.98%
8,6,6,5,5,3,99.98%
7,7,6,5,5,3,99.98%
8,7,6,5,5,3,99.98%
9,5,5,5,5,3,99.98%
9,6,5,5,5,3,99.98%
9,7,5,5,5,3,99.98%
9,6,6,5,5,3,99.98%
9,7,6,5,5,3,99.98%
9,9,8,6,3,3,99.98%
8,8,5,5,5,3,99.98%
8,8,6,5,5,3,99.98%
9,8,5,5,5,3,99.98%
9,8,6,5,5,3,99.98%
10,9,8,4,4,3,99.98%
10,9,8,5,4,3,99.98%
7,7,7,5,5,3,99.98%
8,7,7,5,5,3,99.98%
9,7,7,5,5,3,99.98%
8,8,7,5,5,3,99.98%
9,9,8,6,4,3,99.98%
9,8,7,5,5,3,99.98%
6,6,6,6,5,3,99.98%
7,6,6,6,5,3,99.98%
8,6,6,6,5,3,99.98%
7,7,6,6,5,3,99.98%
8,7,6,6,5,3,99.98%
10,9,8,6,3,3,99.98%
9,6,6,6,5,3,99.98%
9,7,6,6,5,3,99.98%
8,8,6,6,5,3,99.98%
9,8,6,6,5,3,99.98%
10,5,5,5,5,3,99.98%
10,6,5,5,5,3,99.98%
10,7,5,5,5,3,99.98%
7,7,7,6,5,3,99.98%
10,6,6,5,5,3,99.98%
8,7,7,6,5,3,99.98%
10,7,6,5,5,3,99.98%
9,7,7,6,5,3,99.97%
10,8,5,5,5,3,99.97%
8,8,7,6,5,3,99.97%
10,8,6,5,5,3,99.97%
10,9,8,6,4,3,99.97%
9,8,7,6,5,3,99.97%
10,7,7,5,5,3,99.97%
10,8,7,5,5,3,99.97%
10,6,6,6,5,3,99.97%
10,7,6,6,5,3,99.97%
10,8,6,6,5,3,99.97%
10,7,7,6,5,3,99.97%
10,8,7,6,5,3,99.97%
9,9,5,5,5,3,99.97%
9,9,6,5,5,3,99.97%
9,9,7,5,5,3,99.97%
9,9,6,6,5,3,99.97%
10,9,5,5,5,3,99.97%
10,9,6,5,5,3,99.97%
9,9,7,6,5,3,99.97%
10,9,7,5,5,3,99.97%
10,9,6,6,5,3,99.97%
10,9,7,6,5,3,99.97%
8,8,8,5,5,3,99.96%
9,8,8,5,5,3,99.96%
11,3,3,3,3,3,99.96%
11,4,3,3,3,3,99.96%
11,5,3,3,3,3,99.96%
11,4,4,3,3,3,99.96%
11,5,4,3,3,3,99.96%
11,6,3,3,3,3,99.96%
11,6,4,3,3,3,99.96%
11,5,5,3,3,3,99.96%
11,6,5,3,3,3,99.96%
11,4,4,4,3,3,99.96%
11,5,4,4,3,3,99.96%
11,6,4,4,3,3,99.96%
11,5,5,4,3,3,99.96%
11,6,5,4,3,3,99.96%
11,7,3,3,3,3,99.96%
11,7,4,3,3,3,99.96%
11,7,5,3,3,3,99.96%
11,7,4,4,3,3,99.96%
11,7,5,4,3,3,99.96%
11,6,6,3,3,3,99.96%
11,6,6,4,3,3,99.96%
11,7,6,3,3,3,99.96%
11,7,6,4,3,3,99.96%
8,8,8,6,5,3,99.96%
11,5,5,5,3,3,99.96%
11,6,5,5,3,3,99.96%
9,8,8,6,5,3,99.96%
11,7,5,5,3,3,99.96%
11,6,6,5,3,3,99.96%
11,7,6,5,3,3,99.96%
11,8,3,3,3,3,99.96%
11,8,4,3,3,3,99.96%
11,8,5,3,3,3,99.96%
11,8,4,4,3,3,99.96%
11,8,5,4,3,3,99.96%
11,8,6,3,3,3,99.96%
11,8,6,4,3,3,99.96%
11,8,5,5,3,3,99.96%
11,8,6,5,3,3,99.96%
10,8,8,5,5,3,99.96%
11,7,7,3,3,3,99.96%
11,7,7,4,3,3,99.96%
